datetime,agent_type,pid,transaction_id,execution_time,source_file,line_number,date,hour,minute,is_slow,is_very_slow,is_critical
2025-11-06 22:24:30.200,eta_agent,7691,11017739580463,23.178,time6.txt,4266,2025-11-06,22,24,True,False,False
2025-11-06 22:24:31.918,eta_agent,7761,11017739573857,23.906,time6.txt,19978,2025-11-06,22,24,True,False,False
2025-11-06 22:24:32.303,eta_agent,8035,11017739577079,23.159,time6.txt,101887,2025-11-06,22,24,True,False,False
2025-11-06 22:24:32.695,eta_agent,7694,11017739586182,23.249,time6.txt,11059,2025-11-06,22,24,True,False,False
2025-11-06 22:24:33.580,eta_agent,7696,11017739580476,23.158,time6.txt,15507,2025-11-06,22,24,True,False,False
2025-11-06 22:24:34.240,eta_agent,7788,11017739573872,23.152,time6.txt,51059,2025-11-06,22,24,True,False,False
2025-11-06 22:24:35.791,eta_agent,7762,11017739577095,23.18,time6.txt,22252,2025-11-06,22,24,True,False,False
2025-11-06 22:24:36.966,eta_agent,7980,11017739586217,23.194,time6.txt,90910,2025-11-06,22,24,True,False,False
2025-11-06 22:24:37.081,eta_agent,7768,11017739577101,23.135,time6.txt,35536,2025-11-06,22,24,True,False,False
2025-11-06 22:24:39.783,eta_agent,8025,11017739586225,23.152,time6.txt,99741,2025-11-06,22,24,True,False,False
2025-11-06 22:24:39.918,eta_agent,7770,11017739586227,23.136,time6.txt,40039,2025-11-06,22,24,True,False,False
2025-11-06 22:24:41.984,eta_agent,8079,11017739577116,23.147,time6.txt,106168,2025-11-06,22,24,True,False,False
2025-11-06 22:24:42.797,eta_agent,7690,11017739577119,23.418,time6.txt,2074,2025-11-06,22,24,True,False,False
2025-11-06 22:24:42.957,eta_agent,8132,11017739573906,23.433,time6.txt,128064,2025-11-06,22,24,True,False,False
2025-11-06 22:24:43.106,eta_agent,7764,11017739573911,23.255,time6.txt,26543,2025-11-06,22,24,True,False,False
2025-11-06 22:24:43.477,eta_agent,8088,11017739586115,42.295,time6.txt,112561,2025-11-06,22,24,True,True,False
2025-11-06 22:24:44.781,eta_agent,7843,11017739573925,23.225,time6.txt,55472,2025-11-06,22,24,True,False,False
2025-11-06 22:24:44.873,eta_agent,7851,11017739577124,23.308,time6.txt,62190,2025-11-06,22,24,True,False,False
2025-11-06 22:24:45.149,eta_agent,8023,11017739577127,23.253,time6.txt,95394,2025-11-06,22,24,True,False,False
2025-11-06 22:24:46.246,eta_agent,7977,11017739577134,23.153,time6.txt,88709,2025-11-06,22,24,True,False,False
2025-11-06 22:24:46.727,eta_agent,7793,11017739580513,23.355,time6.txt,53238,2025-11-06,22,24,True,False,False
2025-11-06 22:24:46.816,eta_agent,8036,11017739573929,23.17,time6.txt,103953,2025-11-06,22,24,True,False,False
2025-11-06 22:24:46.823,eta_agent,7763,11017739573928,23.177,time6.txt,24496,2025-11-06,22,24,True,False,False
2025-11-06 22:24:46.910,eta_agent,8087,11017739577137,23.128,time6.txt,110417,2025-11-06,22,24,True,False,False
2025-11-06 22:24:52.827,eta_agent,7765,11017739585841,89.06,time6.txt,28774,2025-11-06,22,24,True,True,True
2025-11-06 22:24:52.949,eta_agent,7844,11017739585845,89.087,time6.txt,57741,2025-11-06,22,24,True,True,True
2025-11-06 22:24:53.060,eta_agent,7976,11017739586313,23.314,time6.txt,86675,2025-11-06,22,24,True,False,False
2025-11-06 22:24:54.290,eta_agent,7695,11017739586338,23.352,time6.txt,13321,2025-11-06,22,24,True,False,False
2025-11-06 22:24:54.305,eta_agent,7961,11017739577166,23.248,time6.txt,77828,2025-11-06,22,24,True,False,False
2025-11-06 22:24:55.086,eta_agent,7985,11017739585842,91.333,time6.txt,93171,2025-11-06,22,24,True,True,True
2025-11-06 22:24:56.168,eta_agent,7850,11017739580373,78.871,time6.txt,59961,2025-11-06,22,24,True,True,True
2025-11-06 22:24:59.193,eta_agent,8216,11017739573996,23.206,time6.txt,132458,2025-11-06,22,24,True,False,False
2025-11-06 22:25:01.215,eta_agent,7771,11017739586386,23.14,time6.txt,42250,2025-11-06,22,25,True,False,False
2025-11-06 22:25:01.624,eta_agent,7864,11017739586392,23.212,time6.txt,73401,2025-11-06,22,25,True,False,False
2025-11-06 22:25:01.631,eta_agent,7852,11017739585836,97.909,time6.txt,64432,2025-11-06,22,25,True,True,True
2025-11-06 22:25:03.555,eta_agent,7760,11017739580576,23.165,time6.txt,17750,2025-11-06,22,25,True,False,False
2025-11-06 22:25:03.750,eta_agent,7773,11017739574026,23.236,time6.txt,46578,2025-11-06,22,25,True,False,False
2025-11-06 22:25:04.542,eta_agent,8098,11017739576935,92.686,time6.txt,119259,2025-11-06,22,25,True,True,True
2025-11-06 22:25:06.125,eta_agent,8093,11017739580578,23.369,time6.txt,114864,2025-11-06,22,25,True,False,False
2025-11-06 22:25:06.621,eta_agent,7692,11017739576896,102.766,time6.txt,6581,2025-11-06,22,25,True,True,True
2025-11-06 22:25:06.828,eta_agent,8097,11017739576894,103.067,time6.txt,117106,2025-11-06,22,25,True,True,True
2025-11-06 22:25:07.250,eta_agent,7788,11017739574040,23.272,time6.txt,51060,2025-11-06,22,25,True,False,False
2025-11-06 22:25:08.639,eta_agent,7963,11017739586343,35.35,time6.txt,82383,2025-11-06,22,25,True,True,False
2025-11-06 22:25:09.740,eta_agent,8084,11017739586461,23.22,time6.txt,108290,2025-11-06,22,25,True,False,False
2025-11-06 22:25:10.393,eta_agent,7693,11017739574060,23.181,time6.txt,8844,2025-11-06,22,25,True,False,False
2025-11-06 22:25:10.948,eta_agent,8025,11017739577230,23.181,time6.txt,99742,2025-11-06,22,25,True,False,False
2025-11-06 22:25:11.367,eta_agent,8024,11017739574065,23.177,time6.txt,97553,2025-11-06,22,25,True,False,False
2025-11-06 22:25:11.990,eta_agent,8099,11017739580613,23.139,time6.txt,121465,2025-11-06,22,25,True,False,False
2025-11-06 22:25:13.027,eta_agent,8079,11017739586479,23.192,time6.txt,106169,2025-11-06,22,25,True,False,False
2025-11-06 22:25:13.379,eta_agent,7761,11017739586481,23.199,time6.txt,19980,2025-11-06,22,25,True,False,False
2025-11-06 22:25:15.633,eta_agent,7764,11017739577246,23.109,time6.txt,26544,2025-11-06,22,25,True,False,False
2025-11-06 22:25:15.992,eta_agent,8088,11017739577247,23.327,time6.txt,112562,2025-11-06,22,25,True,False,False
2025-11-06 22:25:16.160,eta_agent,7843,11017739586502,21.82,time6.txt,55473,2025-11-06,22,25,True,False,False
2025-11-06 22:25:17.068,eta_agent,7962,11017739574094,23.514,time6.txt,80079,2025-11-06,22,25,True,False,False
2025-11-06 22:25:17.117,eta_agent,7767,11017739573989,44.535,time6.txt,33279,2025-11-06,22,25,True,True,False
2025-11-06 22:25:17.486,eta_agent,7766,11017739585838,113.754,time6.txt,31025,2025-11-06,22,25,True,True,True
2025-11-06 22:25:18.271,eta_agent,8023,11017739577253,23.29,time6.txt,95395,2025-11-06,22,25,True,False,False
2025-11-06 22:25:18.809,eta_agent,8110,11017739586259,57.254,time6.txt,125844,2025-11-06,22,25,True,True,False
2025-11-06 22:25:19.082,eta_agent,7865,11017739585840,115.341,time6.txt,75621,2025-11-06,22,25,True,True,True
